Domain,Phylum,Class,Order,Family,Genus,Species,Pond06,pond07,pond09,pond10,pond13,pond14,pond16,pond17,pond18
Eukaryota,Oomycota,Leptomitales,Leptomitales,Apodachlya,Apodachlya,Medakamo hakoo,0.002765181,0.011764014,0,0,0,49.5049505,0.287329377,87.12412467,0.018034659
Eukaryota,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Eucyclops serrulatus,0.005530362,0.020587024,0.057526366,0.001520889,51.30508178,0.412541254,20.39100907,0.353563092,18.41830573
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Eudiaptomus gracilis,50.37191682,15.77848362,0.019175455,0.003041779,0.004777603,0.99009901,0.349617564,2.931484278,0.002732524
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Mesocyclops leuckarti,10.85748258,25.34556791,4.26653883,1.949019787,0.439539439,10.2310231,0,0.054922422,0.037708833
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Mychonastes jurisii,20.38353058,1.373448621,5.944391179,0.073002692,0.006370137,12.70627063,0.001339531,2.272415214,0.105475432
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus arcuatus,0.009678133,0.017646021,0.067114094,0.047908017,0.004777603,0.082508251,0.001339531,0.061787725,33.18759871
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Chironomus nipponensis,0.00138259,2.391035821,1.179290508,0.027376009,0.654531556,0.247524752,27.50190883,0.010297954,0.000546505
Eukaryota,Haptophyta,Prymnesiales,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Cricotopus glacialis,0.008295543,0.023528028,0.047938639,0.305698773,0.009555205,0.742574257,0.002679062,0.041191817,29.76319946
Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus,Pythium pachycaule,0.233657781,0.023528028,1.351869607,19.1046524,0.074849107,0.165016502,0.429989418,0.127008101,1.947196703
Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus,Pythium brachiatum,0.167293441,0.102935121,2.358581016,16.04234156,1.683308649,1.650165017,0.776258154,0.120142798,0.531202693
